Kategoria;Grupa;Podgrupa (wymiary);Wymiar 1;Jednostka miary;"2018";
"LUDNOŚĆ";"STAN LUDNOŚCI";"Współczynnik feminizacji (Wymiary: Ogółem)";"ogółem";"osoba";114;
